"","project.ZIP","PROJECT.NAME","AGENCY","project.CD","STATUS","artist.ZIP","project.START.date","FULL.1..amount","ART.contract..","art.contract.START","COMMUNITY.MEETING.date.s.","END.DATE","Hispanic..by.zip.code..2010","White..by.zip.code..2010","Black..by.zip.code..2010","Asian..by.zip.code..2010","Two.ore.more.races..by.zip.code..2010","American.Indian..by.zip.code..2010","Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010","Age..25..by.zip.code..2010","Age.25.44..by.zip.code..2010","Age.45.64..by.zip.code..2010","Age..64..by.zip.code..2010","Median.Household.Income.2013.by.CD","X","X.1","median","pop"
"1",90002,"Watts Branch Library","Library","15","completed","90016","5/1/1992","$25,000","$5,000","11/1/1995","","3/18/97","37,598","14,392","13,101","148","1,939","371",33,"25,157","15,682","9,078","2,922","44,302.32",NA,NA,"35,020","51,223"
"2",90002,"Watts Fire Station No. 65","Fire","15","completed","90046","12/5/2002","$66,831","$53,200","12/5/2002","01/13/04","","37,598","14,392","13,101","148","1,939","371",33,"25,158","15,682","9,078","2,923","44,302.32",NA,NA,"35,020","51,223"
"3",90003,"Ascot Branch Library [#2]","Library","09","completed","90012","10/1/2005","$10,000","$10,000","10/1/2005","n/a","5/31/07","49,386","19,878","16,181","149","2,516","516",62,"31,725","21,432","11,725","3,418","28,883.41",NA,NA,"30,912","66,266"
"4",90003,"Green Meadows Gymnasium","Rec+Parks","09","completed","90042","4/10/2003","$25,000","$23,780","4/10/2003","6/4/03","2/23/06","49,386","19,878","16,181","149","2,516","516",61,"31,725","21,432","11,725","3,418","28,883.41",NA,NA,"30,912","66,266"
"5",90003,"Ascot Branch Library [#1]","Library","09","completed","92870","10/15/2001","$20,000","$20,000","10/15/2001","03/19/02","","49,386","19,878","16,181","149","2,516","516",60,"31,725","21,432","11,725","3,418","28,883.41",NA,NA,"30,912","66,266"
"6",90003,"77th Street Police Station","Police","09","completed","94188","9/16/1991","$152,000","$152,000","5/1/1995","n/a","11/14/97","49,386","19,878","16,181","149","2,516","516",58,"31,725","21,432","11,725","3,418","28,883.41",NA,NA,"30,912","66,266"
"7",90003,"Mark Twain Branch Library","Library","08","completed","90305","5/11/2000","$20,000","$20,000","5/11/2000","7/31/00","1/13/03","49,386","19,878","16,181","149","2,516","516",59,"31,725","21,432","11,725","3,418","30,989.52",NA,NA,"30,912","66,266"
"8",90005,"Pio Pico Koreatown Branch Library","Library","10","completed","90013","1/10/2001","$20,000","$20,000","1/10/2001","5/20/01;10/22/01","","19,578","10,953","2,007","12,740","1,684","317",40,"11,900","15,075","8,334","3,657","38,673.58",NA,NA,"36,058","37,681"
"9",90006,"Good Beginnings Early Childhood Education Program","CDD","01","completed","90019","9/1/2003","$7,530","$6,200","9/1/2003","09/17/03","2/11/04","44,074","18,869","2,179","10,934","2,774","626",46,"21,547","21,688","13,146","4,724","38,673.58",NA,NA,"29,939","59,185"
"10",90006,"Pico Union Branch Library","Library","01","completed","91941","12/18/2001","$20,000","$20,000","12/18/2001","04/09/02","6/17/04","44,074","18,869","2,179","10,934","2,774","626",46,"21,547","21,688","13,146","4,724","38,673.58",NA,NA,"29,939","59,185"
"11",90006,"Olympic Police Station | Youth Apprenticeship in Public Art [YAPA]","Police","01","in development","tbd","tbd","$89,948","$73,758","","","","44,074","18,869","2,179","10,934","2,774","626",47,"21,547","21,688","13,146","4,724","38,673.58",NA,NA,"29,939","59,185"
"12",90006,"Olympic Police Station | Site-Specific Artwork","Police","01","completed","02476","10/15/2003","$283,803","$205,800","10/15/2003","1/26/4","10/17/08","44,074","18,869","2,179","10,934","2,774","626",46,"21,547","21,688","13,146","4,724","38,673.58",NA,NA,"29,939","59,185"
"13",90006,"Pico Union Fire Station No. 13","Fire","01","completed","92371","5/18/2004","$58,434","$50,000","5/18/2004","09/07/04","","44,074","18,869","2,179","10,934","2,774","626",46,"21,547","21,688","13,146","4,724","38,673.58",NA,NA,"29,939","59,185"
"14",90008,"Crenshaw Fire Station No. 94","Fire","10","completed","90026","2/5/2008","$124,000","$102,000","2/5/2008","none required","5/15/11","7,561","2,747","22,581","829","1,258","144",30,"10,188","9,808","8,840","4,942","38,673.58",NA,NA,"40,973","32,327"
"15",90011,"Newton Police Station","Police","09","completed","92866","9/16/1991","$182,000","$182,000","12/1/1994","","3/1/97","92,879","35,138","9,764","591","4,384","1,219",37,"49,755","35,378","16,922","4,783","28,883.41",NA,NA,"29,969","103,892"
"16",90011,"Ross Snyder Community Center","Rec+Parks","09","completed","90039","10/1/1999","$20,000","$7,000","10/1/1999","5/15/00","3/27/03","92,879","35,138","9,764","591","4,384","1,219",37,"49,755","35,379","16,922","4,784","28,883.41",NA,NA,"29,969","103,892"
"17",90011,"Fred Roberts Gymnasium and Recreation Center","Rec+Parks","09","completed","90026","5/8/2007","$38,000","$39,500","5/8/2007","09/26/07","5/7/11","92,879","35,138","9,764","591","4,384","1,219",37,"49,755","35,383","16,922","4,788","28,883.41",NA,NA,"29,969","103,892"
"18",90011,"South LA Fire Station No. 21","Fire","09","completed","33140","4/28/2003","$56,000","$56,000","4/28/2003","","","92,879","35,138","9,764","591","4,384","1,219",37,"49,755","35,380","16,922","4,785","28,883.41",NA,NA,"29,969","103,892"
"19",90011,"Gilbert Lindsay Recreation Center","Rec+Parks","09","completed","90037","4/12/2007","$15,000","$12,300","4/12/2007","09/27/07","4/11/10","92,879","35,138","9,764","591","4,384","1,219",37,"49,755","35,382","16,922","4,787","28,883.41",NA,NA,"29,969","103,892"
"20",90011,"Central Ave. Neighborhood City Hall","BOE","09","completed","90037","9/19/2006","$71,565","$58,680","9/19/2006","6/10/08","9/18/09","92,879","35,138","9,764","591","4,384","1,219",37,"49,755","35,381","16,922","4,786","28,883.41",NA,NA,"29,969","103,892"
