,project.ZIP,PROJECT.NAME,AGENCY,project.CD,STATUS,artist.ZIP,project.START.date,FULL.1..amount,ART.contract..,art.contract.START,COMMUNITY.MEETING.date.s.,END.DATE,Hispanic..by.zip.code..2010,White..by.zip.code..2010,Black..by.zip.code..2010,Asian..by.zip.code..2010,Two.ore.more.races..by.zip.code..2010,American.Indian..by.zip.code..2010,Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010,Age..25..by.zip.code..2010,Age.25.44..by.zip.code..2010,Age.45.64..by.zip.code..2010,Age..64..by.zip.code..2010,Median.Household.Income.2013.by.CD,X,X.1,median,pop
1,90002,Watts Branch Library,Library,15,completed,90016,05/01/92,"$25,000","$5,000",11/01/95,,3/18/97,37598,14392,13101,148,1939,371,33,25157,15682,9078,2922,44302,NA,NA,"35,020","51,223"
2,90002,Watts Fire Station No. 65,Fire,15,completed,90046,12/05/02,"$66,831","$53,200",12/05/02,01/13/04,,37598,14392,13101,148,1939,371,33,25158,15682,9078,2923,44302,NA,NA,"35,020","51,223"
3,90003,Ascot Branch Library [#2],Library,9,completed,90012,10/01/05,"$10,000","$10,000",10/01/05,n/a,5/31/07,49386,19878,16181,149,2516,516,62,31725,21432,11725,3418,28883,NA,NA,"30,912","66,266"
4,90003,Green Meadows Gymnasium,Rec+Parks,9,completed,90042,04/10/03,"$25,000","$23,780",04/10/03,06/04/03,2/23/06,49386,19878,16181,149,2516,516,61,31725,21432,11725,3418,28883,NA,NA,"30,912","66,266"
5,90003,Ascot Branch Library [#1],Library,9,completed,92870,10/15/2001,"$20,000","$20,000",10/15/2001,03/19/02,,49386,19878,16181,149,2516,516,60,31725,21432,11725,3418,28883,NA,NA,"30,912","66,266"
6,90003,77th Street Police Station,Police,9,completed,94188,9/16/1991,"$152,000","$152,000",05/01/95,n/a,11/14/97,49386,19878,16181,149,2516,516,58,31725,21432,11725,3418,28883,NA,NA,"30,912","66,266"
7,90003,Mark Twain Branch Library,Library,8,completed,90305,05/11/00,"$20,000","$20,000",05/11/00,7/31/00,1/13/03,49386,19878,16181,149,2516,516,59,31725,21432,11725,3418,30990,NA,NA,"30,912","66,266"
8,90005,Pio Pico Koreatown Branch Library,Library,10,completed,90013,01/10/01,"$20,000","$20,000",01/10/01,5/20/01;10/22/01,,19578,10953,2007,12740,1684,317,40,11900,15075,8334,3657,38674,NA,NA,"36,058","37,681"
9,90006,Good Beginnings Early Childhood Education Program,CDD,1,completed,90019,09/01/03,"$7,530","$6,200",09/01/03,09/17/03,02/11/04,44074,18869,2179,10934,2774,626,46,21547,21688,13146,4724,38674,NA,NA,"29,939","59,185"
10,90006,Pico Union Branch Library,Library,1,completed,91941,12/18/2001,"$20,000","$20,000",12/18/2001,04/09/02,6/17/04,44074,18869,2179,10934,2774,626,46,21547,21688,13146,4724,38674,NA,NA,"29,939","59,185"
11,90006,Olympic Police Station | Youth Apprenticeship in Public Art [YAPA],Police,1,in development,tbd,tbd,"$89,948","$73,758",,,,44074,18869,2179,10934,2774,626,47,21547,21688,13146,4724,38674,NA,NA,"29,939","59,185"
12,90006,Olympic Police Station | Site-Specific Artwork,Police,1,completed,2476,10/15/2003,"$283,803","$205,800",10/15/2003,1/26/4,10/17/08,44074,18869,2179,10934,2774,626,46,21547,21688,13146,4724,38674,NA,NA,"29,939","59,185"
13,90006,Pico Union Fire Station No. 13,Fire,1,completed,92371,5/18/2004,"$58,434","$50,000",5/18/2004,09/07/04,,44074,18869,2179,10934,2774,626,46,21547,21688,13146,4724,38674,NA,NA,"29,939","59,185"
14,90008,Crenshaw Fire Station No. 94,Fire,10,completed,90026,02/05/08,"$124,000","$102,000",02/05/08,none required,5/15/11,7561,2747,22581,829,1258,144,30,10188,9808,8840,4942,38674,NA,NA,"40,973","32,327"
15,90011,Newton Police Station,Police,9,completed,92866,9/16/1991,"$182,000","$182,000",12/01/94,,03/01/97,92879,35138,9764,591,4384,1219,37,49755,35378,16922,4783,28883,NA,NA,"29,969","1,03,892"
16,90011,Ross Snyder Community Center,Rec+Parks,9,completed,90039,10/01/99,"$20,000","$7,000",10/01/99,5/15/00,3/27/03,92879,35138,9764,591,4384,1219,37,49755,35379,16922,4784,28883,NA,NA,"29,969","1,03,892"
17,90011,Fred Roberts Gymnasium and Recreation Center,Rec+Parks,9,completed,90026,05/08/07,"$38,000","$39,500",05/08/07,09/26/07,05/07/11,92879,35138,9764,591,4384,1219,37,49755,35383,16922,4788,28883,NA,NA,"29,969","1,03,892"
18,90011,South LA Fire Station No. 21,Fire,9,completed,33140,4/28/2003,"$56,000","$56,000",4/28/2003,,,92879,35138,9764,591,4384,1219,37,49755,35380,16922,4785,28883,NA,NA,"29,969","1,03,892"
19,90011,Gilbert Lindsay Recreation Center,Rec+Parks,9,completed,90037,04/12/07,"$15,000","$12,300",04/12/07,09/27/07,04/11/10,92879,35138,9764,591,4384,1219,37,49755,35382,16922,4787,28883,NA,NA,"29,969","1,03,892"
