,PROJECT.NAME,AGENCY.x,project.ZIP.x,project.CD.x,STATUS.x,artist.ZIP.x,project.START.date.x,FULL.1..amount.x,ART.contract...x,art.contract.START.x,COMMUNITY.MEETING.date.s..x,END.DATE.x,Hispanic..by.zip.code..2010,White..by.zip.code..2010,Black..by.zip.code..2010,Asian..by.zip.code..2010,Two.ore.more.races..by.zip.code..2010,American.Indian..by.zip.code..2010,Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010,Age..25..by.zip.code..2010,Age.25.44..by.zip.code..2010,Age.45.64..by.zip.code..2010,Age..64..by.zip.code..2010,Median.Household.Income.1990.by.CD,Median.Household.Income.2000.by.CD,Median.Household.Income.2013.by.CD,X.x,X.1,X.y,project.ZIP.y,AGENCY.y,project.CD.y,STATUS.y,artist.ZIP.y,project.START.date.y,FULL.1..amount.y,ART.contract...y,art.contract.START.y,COMMUNITY.MEETING.date.s..y,END.DATE.y,Single.Family.Residences...City.Community,X2011,X2012,X2013,X2014,X2015,AGENCY,project.ZIP,project.CD,STATUS,artist.ZIP,project.START.date,FULL.1..amount,ART.contract..,art.contract.START,COMMUNITY.MEETING.date.s.,END.DATE,Year,Project.Neighborhood,Project.Area,Project.County,Artist.Neighborhood,Artist.Area,Artist.County,Local.Artist,Local.Artist2,Location.Type
1,109th Street Pool,Rec+Parks,90059,15,completed,90039,6/30/2009,"$36,400 ","$18,500 ",6/30/2009,,3/1/2011,"26,242","8,900","14,047",116,"1,467",274,64,"20,002","12,283","7,618","2,337",NA,NA,"44,302.32",NA,,140,90050,Rec+Parks,15,completed,90039,6/30/2009,"$36,400 ","$18,500 ",6/30/2009,,3/1/2011,NA,NA,NA,NA,NA,NA,Rec+Parks,90050,15,completed,90039,6/30/2009,"$36,400 ","$18,500 ",6/30/2009,,3/1/2011,2011,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
2,77th Street Police Station,Police,90003,9,completed,94188,9/16/1991,"$152,000 ","$152,000 ",5/1/1995,n/a,11/14/1997,"49,386","19,878","16,181",149,"2,516",516,58,"31,725","21,432","11,725","3,418",NA,NA,"28,883.41",NA,,4,90003,Police,9,completed,94188,9/16/1991,"$152,000 ","$152,000 ",5/1/1995,n/a,11/14/1997,Los Angeles (South L.A.),"168,600","181,100","225,050","272,100","296,000",Police,90003,9,completed,94188,9/16/1991,"$152,000 ","$152,000 ",5/1/1995,n/a,11/14/1997,1997,Los Angeles,Los Angeles,Los Angeles,San Francisco,San Francisco,San Francisco,Not Local,From California,Fire/Police Station
3,Ahmanson Recruit Training Center,Police,90045,11,completed,90031,1/1/1995,"$375,000 ","$375,000 ",1/1/1995,,2/10/1998,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,134,90045,Police,11,completed,90031,1/1/1995,"$375,000 ","$375,000 ",1/1/1995,,2/10/1998,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",Police,90045,11,completed,90031,1/1/1995,"$375,000 ","$375,000 ",1/1/1995,,2/10/1998,1998,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
4,Air Operations Facility,Fire,91406,6,completed,91205,9/20/2011,"$232,096 ","$190,819 ",12/1/2011,2/12/2013,6/1/2015,"28,646","28,887","2,774","4,035","2,854",415,75,"18,452","18,684","12,020","4,284",NA,NA,"47,493.67",NA,,241,91406,Fire,6,completed,91205,9/20/2011,"$232,096 ","$190,819 ",12/1/2011,2/12/2013,6/1/2015,Los Angeles (Van Nuys),"326,000","333,700","412,350","457,850","475,100",Fire,91406,6,completed,91205,9/20/2011,"$232,096 ","$190,819 ",12/1/2011,2/12/2013,6/1/2015,2015,Van Nuys,San Fernando Valley,Los Angeles,Glendale,Glendale,Los Angeles,City Artist,Local,Municipal Building
5,Air Treatment Facility | Mission & Jesse,BOE,90023,14,completed,90023,11/17/2005,"$148,920 ","$77,200 ",5/2/2013,11/3/2011,6/27/2015,"44,854","22,777",308,273,"1,455",560,32,"20,465","15,086","8,076","3,562",NA,NA,"38,032.33",NA,,56,90023,BOE,14,completed,90023,11/17/2005,"$148,920 ","$77,200 ",5/2/2013,11/3/2011,6/27/2015,Los Angeles (East L.A.),"198,000","213,050","257,250","302,600","335,850",BOE,90023,14,completed,90023,11/17/2005,"$148,920 ","$77,200 ",5/2/2013,11/3/2011,6/27/2015,2015,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,City Infrastructure
6,Air Treatment Facility | NCOS 6000 Jefferson,BOE,90016,10,completed,90026,6/21/2005,"$69,000 ","$56,580 ",6/21/2005,12/7/2007,11/16/2010,"25,462","11,653","17,829","1,473","2,375",429,54,"17,324","16,059","11,210","4,769",NA,NA,"38,673.58",NA,,45,90016,BOE,10,completed,90026,6/21/2005,"$69,000 ","$56,580 ",6/21/2005,12/7/2007,11/16/2010,Los Angeles (Mid-City),"305,650","316,650","398,050","444,950","490,950",BOE,90016,10,completed,90026,6/21/2005,"$69,000 ","$56,580 ",6/21/2005,12/7/2007,11/16/2010,2010,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,City Infrastructure
7,Aiso Street Parking,Police,90012,14,completed,90031,11/2/2005,"$300,000 ","$250,000 ",11/2/2005,6/13/2007,,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,37,90012,Police,14,completed,90031,11/2/2005,"$300,000 ","$250,000 ",11/2/2005,6/13/2007,,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",Police,90012,14,completed,90031,11/2/2005,"$300,000 ","$250,000 ",11/2/2005,6/13/2007,,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Public Parking
8,Algin Sutton Child Care Center,Rec+Parks,90044,8,completed,90019,9/1/1997,"$9,100 ","$7,600 ",1/1/1998,3/31/1998,1/13/2000,"54,351","20,135","33,656",338,"3,566",666,81,"39,807","28,605","17,957","6,566",NA,NA,"30,989.52",NA,,106,90044,Rec+Parks,8,completed,90019,9/1/1997,"$9,100 ","$7,600 ",1/1/1998,3/31/1998,1/13/2000,Los Angeles (South L.A.),"205,450","206,750","245,700","293,200","319,250",Rec+Parks,90044,8,completed,90019,9/1/1997,"$9,100 ","$7,600 ",1/1/1998,3/31/1998,1/13/2000,2000,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Adult/Childcare and Development
9,Algin Sutton Recreation Center Pool,Rec+Parks,90044,8,completed,90019,9/1/1997,"$9,100 ","$7,600 ",9/1/1997,3/31/1998,1/13/2000,"54,351","20,135","33,656",338,"3,566",666,81,"39,807","28,605","17,957","6,566",NA,NA,"30,989.52",NA,,109,90044,Rec+Parks,8,completed,90019,9/1/1997,"$9,100 ","$7,600 ",9/1/1997,3/31/1998,1/13/2000,Los Angeles (South L.A.),"205,450","206,750","245,700","293,200","319,250",Rec+Parks,90044,8,completed,90019,9/1/1997,"$9,100 ","$7,600 ",9/1/1997,3/31/1998,1/13/2000,2000,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
10,Aliso Creek Bridges,BIP,91306,3,completed,90065,7/15/2002,"$18,360 ","$15,055 ",N/A,09/25/2002; 02/24/2003; 05/05/2003,7/14/2005,"21,370","22,146","2,083","8,048","2,395",263,55,"15,469","15,384","11,289","4,580",NA,NA,"65,860.47",NA,,186,91306,BIP,3,completed,90065,7/15/2002,"$18,360 ","$15,055 ",N/A,09/25/2002; 02/24/2003; 05/05/2003,7/14/2005,Los Angeles (Winnetka),"334,700","339,100","408,100","449,000","460,800",BIP,91306,3,completed,90065,7/15/2002,"$18,360 ","$15,055 ",N/A,09/25/2002; 02/24/2003; 05/05/2003,7/14/2005,2005,Winnetka,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
11,Aliso Pico Community Center,Rec+Parks,90033,14,completed,90034,11/1/1997,"$20,000 ","$17,000 ",11/1/1997,"01/20/1998, 2/10/98",10/31/1999,"44,703","22,458",926,"2,124","1,938",538,23,"21,307","15,470","9,045","4,423",NA,NA,"38,032.33",NA,,82,90033,Rec+Parks,14,completed,90034,11/1/1997,"$20,000 ","$17,000 ",11/1/1997,"01/20/1998, 2/10/98",10/31/1999,Los Angeles (Boyle Heights),"205,350","210,500","249,200","319,500","364,500",Rec+Parks,90033,14,completed,90034,11/1/1997,"$20,000 ","$17,000 ",11/1/1997,"01/20/1998, 2/10/98",10/31/1999,1999,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
12,Angeles Mesa Branch Library,Library,90043,8,completed,90037,1/1/1997,"$16,000 ","$16,000 ",1/1/1997,4/9/1997,6/1/1999,"13,049","4,923","29,500",380,"1,922",273,39,"15,289","12,878","12,150","6,299",NA,NA,"30,989.52",NA,,104,90043,Library,8,completed,90037,1/1/1997,"$16,000 ","$16,000 ",1/1/1997,4/9/1997,6/1/1999,Los Angeles (Hyde Park)/View Park/Windsor Hills,"300,050","307,950","363,200","404,550","428,400",Library,90043,8,completed,90037,1/1/1997,"$16,000 ","$16,000 ",1/1/1997,4/9/1997,6/1/1999,1999,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
13,Arleta Fire Station No. 7,Fire,91402,6,completed,90042,4/25/2012,"$90,000 ","$73,800 ",4/25/2012,n/a,9/7/2016,"50,328","28,209","2,166","9,877","3,037",491,78,"28,819","24,018","14,224","5,073",NA,NA,"47,493.67",NA,,234,91402,Fire,6,completed,90042,4/25/2012,"$90,000 ","$73,800 ",4/25/2012,n/a,9/7/2016,Los Angeles (Panorama City),"276,250","274,500","337,950","367,650","388,600",Fire,91402,6,completed,90042,4/25/2012,"$90,000 ","$73,800 ",4/25/2012,n/a,9/7/2016,2016,Panorama City,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Fire/Police Station
14,Arleta Fire Station No. 81,Fire,91402,6,completed,85702,12/3/2002,"$66,831 ","$58,700 ",12/3/2002,n/a,12/11/2006,"50,328","28,209","2,166","9,877","3,037",491,78,"28,819","24,018","14,224","5,073",NA,NA,"47,493.67",NA,,235,91402,Fire,6,completed,85702,12/3/2002,"$66,831 ","$58,700 ",12/3/2002,n/a,12/11/2006,Los Angeles (Panorama City),"276,250","274,500","337,950","367,650","388,600",Fire,91402,6,completed,85702,12/3/2002,"$66,831 ","$58,700 ",12/3/2002,n/a,12/11/2006,2006,Panorama City,San Fernando Valley,Los Angeles,Arizona,Arizona,Arizona,Not Local,Out of State,Fire/Police Station
15,Ascot Branch Library [#1],Library,90003,9,completed,92870,10/15/2001,"$20,000 ","$20,000 ",10/15/2001,3/19/2002,,"49,386","19,878","16,181",149,"2,516",516,60,"31,725","21,432","11,725","3,418",NA,NA,"28,883.41",NA,,6,90003,Library,9,completed,92870,10/15/2001,"$20,000 ","$20,000 ",10/15/2001,3/19/2002,,Los Angeles (South L.A.),"168,600","181,100","225,050","272,100","296,000",Library,90003,9,completed,92870,10/15/2001,"$20,000 ","$20,000 ",10/15/2001,3/19/2002,,,Los Angeles,Los Angeles,Los Angeles,Placentia,Orange,Orange,Not Local,From California,Library
16,Ascot Branch Library [#2],Library,90003,9,completed,90012,10/1/2005,"$10,000 ","$10,000 ",10/1/2005,n/a,5/31/2007,"49,386","19,878","16,181",149,"2,516",516,62,"31,725","21,432","11,725","3,418",NA,NA,"28,883.41",NA,,7,90003,Library,9,completed,90012,10/1/2005,"$10,000 ","$10,000 ",10/1/2005,n/a,5/31/2007,Los Angeles (South L.A.),"168,600","181,100","225,050","272,100","296,000",Library,90003,9,completed,90012,10/1/2005,"$10,000 ","$10,000 ",10/1/2005,n/a,5/31/2007,2007,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
17,Ave. 19 Bridges,BIP,90031,1,completed,90291,12/21/2004,"$28,000 ","$10,000 ",N/A,2/5/2005,7/7/2005,"26,643","14,012",525,"9,970","1,475",427,25,"14,671","12,878","8,814","4,206",NA,NA,"38,673.58",NA,,75,90031,BIP,1,completed,90291,12/21/2004,"$28,000 ","$10,000 ",N/A,2/5/2005,7/7/2005,Los Angeles (Lincoln Heights/Montecito Heights),"277,250","287,050","366,650","410,350","426,350",BIP,90031,1,completed,90291,12/21/2004,"$28,000 ","$10,000 ",N/A,2/5/2005,7/7/2005,2005,Los Angeles,Los Angeles,Los Angeles,Venice,West Side,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
18,Ave. 19 East + West Bridges,BIP,90031,1,completed,90039,8/28/2002,"$28,000 ","$10,000 ",N/A,1/16/2003,8/27/2005,"26,643","14,012",525,"9,970","1,475",427,25,"14,671","12,878","8,814","4,206",NA,NA,"38,673.58",NA,,72,90031,BIP,1,completed,90039,8/28/2002,"$28,000 ","$10,000 ",N/A,1/16/2003,8/27/2005,Los Angeles (Lincoln Heights/Montecito Heights),"277,250","287,050","366,650","410,350","426,350",BIP,90031,1,completed,90039,8/28/2002,"$28,000 ","$10,000 ",N/A,1/16/2003,8/27/2005,2005,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Bridge/Road Infrastructure
19,Baldwin Hills Branch Library,Library,90019,10,completed,91602,5/6/1999,"$20,000 ","$20,000 ",5/6/1999,12/6/1999,4/23/2002,"29,701","19,321","15,249","10,149","3,108",577,59,"20,339","23,532","15,899","7,089",NA,NA,"38,673.58",NA,,52,90019,Library,10,completed,91602,5/6/1999,"$20,000 ","$20,000 ",5/6/1999,12/6/1999,4/23/2002,Los Angeles (Mid City/Country Club Park),"568,700","582,500","710,400","810,100","864,950",Library,90019,10,completed,91602,5/6/1999,"$20,000 ","$20,000 ",5/6/1999,12/6/1999,4/23/2002,2002,Los Angeles,Los Angeles,Los Angeles,North Hollywood,San Fernando Valley,Los Angeles,City Artist,Local,Library
20,Banning Park Senior Center,Rec+Parks,90744,15,completed,91741,10/8/2003,"$17,300 ","$17,300 ",10/8/2003,"4/28/4, 4/30/04",8/15/2006,"47,792","23,800","1,716","1,268","2,701",588,452,"23,766","17,404","10,403","3,783",NA,NA,"44,302.32",NA,,175,90744,Rec+Parks,15,completed,91741,10/8/2003,"$17,300 ","$17,300 ",10/8/2003,"4/28/4, 4/30/04",8/15/2006,Los Angeles (Wilmington),"259,150","260,450","295,100","356,350","378,650",Rec+Parks,90744,15,completed,91741,10/8/2003,"$17,300 ","$17,300 ",10/8/2003,"4/28/4, 4/30/04",8/15/2006,2006,Wilmington,LA Harbor Area,Los Angeles,Glendora,San Gabriel Valley,Los Angeles,City Artist,Local,Adult/Childcare and Development
21,Barrio Action Youth and Family Center,BOE,90032,14,completed,90031,11/6/2006,"$45,000 ","$36,900 ",11/6/2006,"2/01/07, 2/07/07",2/26/2008,"37,372","20,608","1,050","5,120","1,878",680,33,"17,822","14,823","9,785","4,809",NA,NA,"38,032.33",NA,,76,90032,BOE,14,completed,90031,11/6/2006,"$45,000 ","$36,900 ",11/6/2006,"2/01/07, 2/07/07",2/26/2008,Los Angeles (El Sereno/Monterey Hills),"275,900","284,950","358,450","380,650","400,850",BOE,90032,14,completed,90031,11/6/2006,"$45,000 ","$36,900 ",11/6/2006,"2/01/07, 2/07/07",2/26/2008,2008,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Adult/Childcare and Development
22,Boyle Heights Youth and Job Training Center,CDD,90033,14,completed,90026,8/26/2002,"$50,000 ","$41,000 ",8/26/2002,3/11/2003,9/26/2006,"44,703","22,458",926,"2,124","1,938",538,23,"21,307","15,470","9,045","4,423",NA,NA,"38,032.33",NA,,88,90033,CDD,14,completed,90026,8/26/2002,"$50,000 ","$41,000 ",8/26/2002,3/11/2003,9/26/2006,Los Angeles (Boyle Heights),"205,350","210,500","249,200","319,500","364,500",CDD,90033,14,completed,90026,8/26/2002,"$50,000 ","$41,000 ",8/26/2002,3/11/2003,9/26/2006,2006,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Adult/Childcare and Development
23,Bradley West International Terminal Expansion 1,LAWA,90045,11,completed,90008,,"$1,219,512 ","$1,000,000 ",12/2/2011,,,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,133,90045,LAWA,11,completed,90008,,"$1,219,512 ","$1,000,000 ",12/2/2011,,,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,90008,,"$1,219,512 ","$1,000,000 ",12/2/2011,,,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Airport
24,Bradley West International Terminal Expansion 2,LAWA,90045,11,completed,90031,,"$1,283,902 ","$1,052,800 ",12/2/2011,,,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,128,90045,LAWA,11,completed,90031,,"$1,283,902 ","$1,052,800 ",12/2/2011,,,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,90031,,"$1,283,902 ","$1,052,800 ",12/2/2011,,,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Airport
25,Bradley West International Terminal Expansion 3,LAWA,90045,11,completed,90068,,"$1,219,512 ","$1,000,000 ",12/2/2011,,,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,114,90045,LAWA,11,completed,90068,,"$1,219,512 ","$1,000,000 ",12/2/2011,,,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,90068,,"$1,219,512 ","$1,000,000 ",12/2/2011,,,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Airport
26,Branford Child Care Center,Rec+Parks,91402,6,completed,90808,7/6/2000,"$8,000 ","$8,000 ",8/16/2000,4/12/2001,4/14/2003,"50,328","28,209","2,166","9,877","3,037",491,78,"28,819","24,018","14,224","5,073",NA,NA,"47,493.67",NA,,231,91402,Rec+Parks,6,completed,90808,7/6/2000,"$8,000 ","$8,000 ",8/16/2000,4/12/2001,4/14/2003,Los Angeles (Panorama City),"276,250","274,500","337,950","367,650","388,600",Rec+Parks,91402,6,completed,90808,7/6/2000,"$8,000 ","$8,000 ",8/16/2000,4/12/2001,4/14/2003,2003,Panorama City,San Fernando Valley,Los Angeles,Long Beach,Long Beach,Los Angeles,City Artist,Local,Adult/Childcare and Development
27,Cabrillo Marine Aquarium,Rec+Parks,90731,15,completed,90290,7/1/2001,"$54,000 ","$44,500 ",7/1/2001,12/4/2000,5/21/2007,"34,816","31,732","4,369","2,721","3,952",721,352,"20,559","19,732","15,415","6,170",NA,NA,"44,302.32",NA,,170,90731,Rec+Parks,15,completed,90290,7/1/2001,"$54,000 ","$44,500 ",7/1/2001,12/4/2000,5/21/2007,Los Angeles (San Pedro/Terminal Island),"417,400","387,800","467,850","515,900","537,650",Rec+Parks,90731,15,completed,90290,7/1/2001,"$54,000 ","$44,500 ",7/1/2001,12/4/2000,5/21/2007,2007,San Pedro,LA Harbor Area,Los Angeles,Topanga,0,Los Angeles,City Artist,Local,Recreation
28,Cahuenga Branch Library,Library,90029,13,completed,90012,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,7/26/1995,5/31/1997,"22,660","16,947","1,232","6,285","1,898",343,40,"12,248","14,607","8,963","4,061",NA,NA,"39,267.94",NA,,70,90029,Library,13,completed,90012,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,7/26/1995,5/31/1997,Los Angeles (East Hollywood),"438,400","435,250","511,100","632,600","721,800",Library,90029,13,completed,90012,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,7/26/1995,5/31/1997,1997,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
29,Canoga Park Branch Library,Library,91303,3,completed,91941,4/27/2001,"$20,000 ","$30,000 ",4/27/2001,06/04/01;08/29/01,11/23/2005,"16,416","13,058","1,134","2,802","1,319",212,44,"10,082","10,560","5,396","1,688",NA,NA,"65,860.47",NA,,179,91303,Library,3,completed,91941,4/27/2001,"$20,000 ","$30,000 ",4/27/2001,06/04/01;08/29/01,11/23/2005,Los Angeles (Canoga Park),"332,550","325,000","399,300","431,600","436,850",Library,91303,3,completed,91941,4/27/2001,"$20,000 ","$30,000 ",4/27/2001,06/04/01;08/29/01,11/23/2005,2005,Canoga Park,San Fernando Valley,Los Angeles,La Mesa,San Diego,San Diego,Not Local,From California,Library
30,Central Ave. Neighborhood City Hall,BOE,90011,9,completed,90037,9/19/2006,"$71,565 ","$58,680 ",9/19/2006,6/10/2008,9/18/2009,"92,879","35,138","9,764",591,"4,384","1,219",37,"49,755","35,381","16,922","4,786",NA,NA,"28,883.41",NA,,19,90011,BOE,9,completed,90037,9/19/2006,"$71,565 ","$58,680 ",9/19/2006,6/10/2008,9/18/2009,Los Angeles (South L.A.),"178,800","194,250","243,050","287,950","328,000",BOE,90011,9,completed,90037,9/19/2006,"$71,565 ","$58,680 ",9/19/2006,6/10/2008,9/18/2009,2009,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Municipal Building
31,Chatsworth Branch Library [#1],Library,91311,12,completed,90808,1/19/2001,"$20,000 ","$20,000 ",,4/2/2001,5/24/2006,"7,934","24,118","1,540","6,036","1,705",208,58,"10,222","10,812","11,510","5,634",NA,NA,"66,792.32",NA,,189,91311,Library,12,completed,90808,1/19/2001,"$20,000 ","$20,000 ",,4/2/2001,5/24/2006,Los Angeles (Chatsworth),"451,200","448,050","509,150","582,800","601,550",Library,91311,12,completed,90808,1/19/2001,"$20,000 ","$20,000 ",,4/2/2001,5/24/2006,2006,Chatsworth,San Fernando Valley,Los Angeles,Long Beach,Long Beach,Los Angeles,City Artist,Local,Library
32,Chatsworth Branch Library [#2],Library,91311,12,completed,91304,6/1/2004,"$83,000 ","$83,000 ",6/1/2004,n/a,2/15/2006,"7,934","24,118","1,540","6,036","1,705",208,58,"10,222","10,812","11,510","5,634",NA,NA,"66,792.32",NA,,191,91311,Library,12,completed,91304,6/1/2004,"$83,000 ","$83,000 ",6/1/2004,n/a,2/15/2006,Los Angeles (Chatsworth),"451,200","448,050","509,150","582,800","601,550",Library,91311,12,completed,91304,6/1/2004,"$83,000 ","$83,000 ",6/1/2004,n/a,2/15/2006,2006,Chatsworth,San Fernando Valley,Los Angeles,Canoga Park,San Fernando Valley,Los Angeles,Area Local,Local,Library
33,Chatsworth Metrolink Station,DOT,91311,12,completed,90291,10/1/1994,"$40,000 ","$40,000 ",6/1/1995,,6/18/1997,"7,934","24,118","1,540","6,036","1,705",208,58,"10,222","10,812","11,510","5,634",NA,NA,"66,792.32",NA,,190,91311,DOT,12,completed,90291,10/1/1994,"$40,000 ","$40,000 ",6/1/1995,,6/18/1997,Los Angeles (Chatsworth),"451,200","448,050","509,150","582,800","601,550",DOT,91311,12,completed,90291,10/1/1994,"$40,000 ","$40,000 ",6/1/1995,,6/18/1997,1997,Chatsworth,San Fernando Valley,Los Angeles,Venice,West Side,Los Angeles,City Artist,Local,Public Transport
