,X,ZIP,Project.Count,Year,Total.Number.of.Crimes,Housing.Prices,New.Business,New.Projects
1,1,90002,2,2011,442,163000,61,0
2,2,90003,5,2011,67,168600,141,0
3,3,90005,1,2011,31,904650,227,0
4,4,90006,5,2011,3,352800,276,0
5,5,90008,1,2011,46,384650,106,1
6,6,90011,6,2011,36,178800,219,1
7,7,90012,21,2011,1756,294300,170,0
9,9,90016,4,2011,9,305650,196,0
11,11,90018,2,2011,6,264900,182,0
12,12,90019,3,2011,6,568700,373,0
13,13,90023,3,2011,381,198000,109,0
15,15,90025,2,2011,7,892950,487,0
16,16,90026,3,2011,8,487100,437,0
17,17,90027,3,2011,53,982500,491,0
18,18,90028,1,2011,14,563300,357,0
19,19,90029,1,2011,92,438400,264,0
20,20,90031,5,2011,4,277250,139,0
21,21,90032,5,2011,29,275900,107,0
22,22,90033,8,2011,219,205350,118,0
23,23,90035,1,2011,1,909850,250,0
24,24,90036,4,2011,6,1035950,456,0
25,25,90037,3,2011,19,206850,177,0
26,26,90038,1,2011,46,489250,224,0
27,27,90039,2,2011,2,559000,259,1
28,28,90041,2,2011,5,470000,174,0
29,29,90043,4,2011,349,300050,137,0
30,30,90044,4,2011,1311,205450,165,0
31,31,90045,25,2011,63,669850,262,18
32,32,90046,2,2011,804,1016250,419,0
33,33,90047,1,2011,302,242900,120,0
34,34,90048,1,2011,108,1047400,345,0
35,35,90049,1,2011,2,1963550,336,0
37,37,90057,2,2011,37,380050,196,0
38,38,90059,1,2011,720,167550,41,0
39,39,90061,1,2011,214,185950,41,0
40,40,90062,2,2011,11,229500,76,0
41,41,90064,4,2011,12,884300,315,0
42,42,90065,4,2011,13,433150,218,0
43,43,90066,2,2011,5,715750,356,0
46,46,90230,1,2011,35,630050,66,0
47,47,90232,1,2011,2,704450,40,0
49,49,90291,3,2011,2,844250,216,0
51,51,90710,1,2011,112,417550,45,0
52,52,90731,7,2011,122,417400,113,0
53,53,90744,3,2011,44,259150,123,0
54,54,91040,1,2011,3,366100,89,0
55,55,91042,1,2011,9,368700,87,0
56,56,91303,1,2011,3,332550,117,0
57,57,91304,3,2011,5,424650,143,0
59,59,91307,1,2011,4,438500,92,0
60,60,91311,5,2011,23,451200,198,0
61,61,91324,1,2011,5,401600,148,0
62,62,91325,1,2011,1,480550,95,0
64,64,91331,4,2011,8,254400,255,1
66,66,91340,1,2011,23,250200,45,0
67,67,91342,2,2011,180,298200,159,0
68,68,91343,3,2011,20,357650,177,0
71,71,91352,7,2011,25,286850,197,0
72,72,91356,2,2011,1,845600,242,0
73,73,91367,5,2011,5,549450,201,0
74,74,91401,1,2011,152,471950,262,0
75,75,91402,5,2011,10,276250,268,0
